199.8780	0.0976
200.1320	0.1536
200.3850	0.0130
200.6390	0.0391
200.8920	0.1167
201.1460	0.0589
201.4000	0.0436
201.6530	0.0551
201.9070	0.0960
202.1610	0.0009
202.4140	-0.0203
202.6680	0.1397
202.9220	0.1092
203.1750	0.0866
203.4290	0.0287
203.6830	0.1391
203.9360	0.2282
204.1900	0.1226
204.4430	0.2979
204.6970	0.3502
204.9510	0.1346
205.2040	0.0305
205.4580	0.0970
205.7120	0.2436
205.9650	0.1246
206.2190	0.1021
206.4730	0.1193
206.7260	0.0891
206.9800	0.1690
207.2330	0.0667
207.4870	-0.0270
207.7410	0.0765
207.9940	0.1516
208.2480	0.1516
208.5020	0.0722
208.7550	0.0901
209.0090	0.2008
209.2630	0.2656
209.5160	0.0938
209.7700	0.0283
210.0240	0.1828
210.2770	0.1365
210.5310	0.0117
210.7840	-0.0205
211.0380	0.0199
211.2920	-0.0302
211.5450	-0.0048
211.7990	0.2029
212.0530	0.3124
212.3060	0.2413
212.5600	0.0722
212.8140	0.0450
213.0670	0.0576
213.3210	0.0911
213.5750	0.0987
213.8280	0.1574
214.0820	0.2928
214.3350	0.1520
214.5890	0.0668
214.8430	0.0836
215.0960	0.2538
215.3500	0.1857
215.6040	0.1501
215.8570	0.0786
216.1110	0.1136
216.3650	0.0473
216.6180	0.0319
216.8720	0.0870
217.1260	0.0393
217.3790	0.1239
217.6330	0.0442
217.8860	0.0888
218.1400	0.0948
218.3940	0.0374
218.6470	0.0291
218.9010	0.0236
219.1550	0.0875
219.4080	0.0140
219.6620	-0.0281
219.9160	0.0916
220.1690	0.1657
220.4230	0.1446
220.6770	0.1321
220.9300	0.0355
221.1840	0.0033
221.4370	-0.0285
221.6910	-0.0249
221.9450	0.0307
222.1980	0.0623
222.4520	0.1139
222.7060	0.1787
222.9590	0.1467
223.2130	0.1791
223.4670	0.1545
223.7200	0.1630
223.9740	0.1613
224.2280	0.0735
224.4810	0.1194
224.7350	0.0848
224.9880	0.1307
225.2420	0.2858
225.4960	0.1934
225.7490	0.2777
226.0030	0.2703
226.2570	0.1405
226.5100	0.0265
226.7640	0.2087
227.0180	0.2127
