Wavelength (nm),ecoli
177.811,0.00029902
178.065,-0.002496533333
178.318,-0.00347876
178.572,-0.001081
178.826,-0.0001232466667
179.079,-0.001785506667
179.333,-0.002961113333
179.587,-0.001236726667
179.84,-0.000005686666667
180.094,-0.00196132
180.347,-0.002483633333
180.601,-0.00033262
180.855,0.0002050466667
181.108,-0.003190633333
181.362,-0.002812986667
181.616,0.00005132
181.869,0.001288946667
182.123,-0.001306766667
182.377,-0.00104916
182.63,-0.00033156
182.884,-0.00034064
183.137,-0.001509726667
183.391,-0.002812153333
183.645,-0.00086126
183.898,-0.00019704
184.152,-0.002499493333
184.406,-0.004095293333
184.659,-0.0011111
184.913,0.00070642
185.167,0.0007572666667
185.42,-0.0024519
185.674,-0.00142774
185.928,0.00028308
186.181,-0.001959446667
186.435,-0.002575306667
186.688,-0.0009645133333
186.942,0.00007294
187.196,0.00080372
187.449,-0.001825506667
187.703,-0.001141406667
187.957,-0.0001506533333
188.21,-0.0002332333333
188.464,-0.001335826667
188.718,0.00050824
188.971,0.00174564
189.225,0.0007496933333
189.479,-0.00005292666667
189.732,0.0002177866667
189.986,0.0003684866667
190.239,-0.001627486667
190.493,-0.003996793333
190.747,-0.001579446667
191,0.0007845666667
191.254,-0.002411433333
191.508,-0.004280766667
191.761,-0.00062344
192.015,0.0009472133333
192.269,-0.00286214
192.522,-0.002184833333
192.776,-0.0003075333333
193.03,-0.00007023333333
193.283,-0.002439606667
193.537,-0.001475653333
193.79,0.00109496
194.044,0.0008589
194.298,-0.002283826667
194.551,-0.00098656
194.805,0.0009173666667
195.059,0.00110796
195.312,-0.00005478666667
195.566,-0.001690873333
195.82,-0.0001603
196.073,0.0006836066667
196.327,-0.001185826667
196.581,-0.00327526
196.834,-0.0002913666667
197.088,0.00059252
197.341,-0.002836926667
197.595,-0.002893046667
197.849,-0.0006625
198.102,-0.0001252933333
198.356,0.00065858
198.61,-0.0009375533333
198.863,-0.0008936933333
199.117,0.0004568333333
199.371,-0.0002859733333
199.624,-0.003888786667
199.878,-0.001491606667
200.132,0.00116558
200.385,-0.00039058
200.639,-0.0028734
200.892,-0.0007429
201.146,0.0005076066667
201.4,-0.0009618933333
201.653,-0.00313806
201.907,-0.0008409
202.161,0.001122926667
202.414,-0.001413246667
202.668,-0.002396093333
202.922,-0.00059894
203.175,0.0004382133333
203.429,-0.00052464
203.683,-0.003880826667
203.936,-0.001537013333
204.19,0.00069346
204.443,-0.00299606
204.697,-0.00319892
204.951,-0.00052178
205.204,0.001115353333
205.458,-0.001234173333
205.712,-0.00315704
205.965,-0.0006199066667
206.219,0.00095056
206.473,-0.001932306667
206.726,-0.005188513333
206.98,-0.002124713333
207.233,0.00093908
207.487,-0.00039046
207.741,-0.00172
207.994,-0.00134954
208.248,-0.0005324133333
208.502,-0.001821953333
208.755,-0.0030115
209.009,-0.001427706667
209.263,0.0003227466667
209.516,-0.002080126667
209.77,-0.005289673333
210.024,-0.001792546667
210.277,0.00071124
210.531,-0.0010183
210.784,-0.002187846667
211.038,-0.0009573866667
