Wavelength (nm),500ppb_500ms
247.95,11.95
248.08,29.97
248.21,19.98
248.34,19.00
248.47,20.02
248.60,17.04
248.73,10.05
248.86,14.07
248.99,19.09
249.12,21.10
249.25,21.12
249.38,25.14
249.51,21.16
249.64,27.17
249.78,22.19
249.91,22.21
250.04,23.22
250.17,22.24
250.30,16.26
250.43,27.27
250.56,37.29
250.69,35.31
250.82,26.32
250.95,25.34
251.08,14.36
251.21,16.37
251.34,24.39
251.47,20.41
251.60,20.42
251.73,27.44
251.86,16.45
251.99,26.47
252.12,23.49
252.25,12.50
252.38,10.52
252.51,17.54
252.64,23.55
252.77,23.57
252.90,27.58
253.03,28.60
253.16,20.61
253.29,30.63
253.42,20.65
253.56,5.66
253.69,17.68
253.82,27.69
253.95,23.71
254.08,20.72
254.21,17.74
254.34,15.76
254.47,13.77
254.60,14.79
254.73,13.80
254.86,19.82
254.99,17.83
255.12,15.85
255.25,24.86
255.38,25.88
255.51,19.89
255.64,18.91
255.77,13.92
255.90,19.94
256.04,20.95
256.17,18.97
256.30,24.98
256.43,22.00
256.56,17.01
256.69,7.03
256.82,14.04
256.95,20.06
257.08,17.07
257.21,29.09
257.34,30.10
257.47,27.12
257.60,25.13
257.73,16.15
257.86,11.16
257.99,20.17
258.13,20.19
258.26,21.20
258.39,28.22
258.52,28.23
258.65,21.25
258.78,13.26
258.91,12.27
259.04,16.29
259.17,15.30
259.30,12.32
259.43,13.33
259.56,16.34
259.69,16.36
259.83,7.37
259.96,15.39
260.09,24.40
260.22,27.41
260.35,26.43
260.48,23.44
260.61,16.45
260.74,24.47
260.87,20.48
261.00,15.50
261.13,21.51
261.26,17.52
261.40,11.54
261.53,26.55
261.66,26.56
261.79,16.58
261.92,13.59
262.05,26.60
262.18,27.62
262.31,19.63
262.44,23.64
262.57,26.66
262.70,19.67
262.84,22.68
262.97,21.70
263.10,17.71
263.23,26.72
263.36,30.73
263.49,21.75
263.62,16.76
263.75,18.77
263.88,15.79
264.01,12.80
264.15,22.81
264.28,25.82
264.41,20.84
264.54,32.85
264.67,21.86
264.80,26.88
264.93,25.89
265.06,9.90
265.19,12.91
265.32,32.93
265.46,30.94
265.59,20.95
265.72,22.96
265.85,30.97
265.98,20.99
266.11,20.00
266.24,15.01
266.37,10.02
266.51,18.04
266.64,24.05
266.77,27.06
266.90,29.07
267.03,22.08
267.16,22.10
267.29,30.11
267.42,33.12
267.55,17.13
267.69,27.14
267.82,25.16
267.95,12.17
268.08,17.18
268.21,17.19
268.34,11.20
268.47,23.22
268.60,20.23
268.74,22.24
268.87,26.25
269.00,28.26
269.13,14.27
269.26,13.29
269.39,26.30
269.52,16.31
269.66,9.32
269.79,21.33
269.92,24.34
270.05,25.35
270.18,25.37
270.31,20.38
270.44,22.39
270.57,21.40
270.71,19.41
270.84,32.42
270.97,31.43
271.10,31.44
271.23,28.45
271.36,21.47
271.49,25.48
271.63,28.49
271.76,14.50
271.89,18.51
272.02,27.52
272.15,27.53
272.28,33.54
272.41,42.55
272.55,32.56
272.68,26.58
272.81,22.59
272.94,17.60
273.07,4.61
273.20,16.62
273.34,18.63
273.47,14.64
273.60,6.65
273.73,18.66
273.86,19.67
273.99,23.68
274.12,30.69
274.26,29.70
274.39,26.71
274.52,30.72
274.65,18.73
274.78,13.74
274.91,17.75
275.05,23.76
275.18,16.78
275.31,28.79
275.44,30.80
275.57,23.81
275.70,18.82
275.84,26.83
275.97,23.84
276.10,26.85
276.23,22.86
276.36,22.87
276.49,25.88
276.63,26.89
276.76,18.90
276.89,9.91
277.02,9.92
277.15,19.93
277.28,20.94
277.42,14.95
277.55,15.96
277.68,26.97
277.81,27.98
277.94,28.98
278.08,21.99
278.21,29.00
278.34,27.01
278.47,26.02
278.60,25.03
278.73,28.04
278.87,21.05
279.00,19.06
279.13,19.07
279.26,25.08
279.39,27.09
279.53,28.10
279.66,25.11
279.79,22.12
279.92,23.13
280.05,31.14
280.18,28.15
280.32,25.16
280.45,24.17
280.58,23.17
280.71,33.18
280.84,30.19
280.98,19.20
281.11,23.21
281.24,26.22
281.37,31.23
281.50,27.24
281.64,22.25
281.77,28.26
281.90,33.27
282.03,26.27
282.16,27.28
282.30,20.29
282.43,18.30
282.56,21.31
